numer_karty,nazwa,komorka,obszar,liczba_sekcji,liczba_wnioskow,url
KL-011,Nagroda Miasta Lublin dla Mecenasa Kultury,Wydział Kultury,,6,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-kultury/nagroda-miasta-lublin-dla-mecenasa-kultury,6,22965,2.html"
KL-009,Nagroda Miasta Lublin za Całokształt Działalności,Wydział Kultury,,6,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-kultury/nagroda-miasta-lublin-za-caloksztalt-dzialalnosci,4,22965,2.html"
KL-008,Nagroda Miasta Lublin za Upowszechnianie Kultury,Wydział Kultury,,6,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-kultury/nagroda-miasta-lublin-za-upowszechnianie-kultury,3,22965,2.html"
KL-010,Nagroda Okolicznościowa,Wydział Kultury,,6,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-kultury/nagrody-okolicznosciowe,5,22965,2.html"
KL-018,Stypendium na realizację młodzieżowego projektu z zakresu twórczości artystycznej lub z zakresu upowszechniania kultury,Wydział Kultury,,8,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-kultury/stypendium-na-realizacje-mlodziezowego-projektu-z-zakresu-tworczosci-artystycznej-lub-z-zakresu-upowszechniania-kultury,8,22965,2.html"
KL-015,Stypendium na realizację projektu z zakresu twórczości artystycznej lub z zakresu upowszechniania kultury,Wydział Kultury,,8,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-kultury/stypendium-na-realizacje-projektu-z-zakresu-tworczosci-artystycznej-lub-z-zakresu-upowszechniania-kultury,7,22965,2.html"
KL-016,"Stypendium na udział w międzynarodowym lub ogólnopolskim konkursie, festiwalu, przeglądzie lub projekcie kulturalnym odbywającym się poza Lublinem",Wydział Kultury,,9,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-kultury/stypendium-na-udzial-w-miedzynarodowym-lub-ogolnopolskim-konkursie-festiwalu-przegladzie-lub-projekcie-kulturalnym-odbywajacym-sie-poza-lublinem,11,22965,2.html"
KL-017,Stypendium za osiągnięcia artystyczne o randze międzynarodowej lub ogólnopolskiej,Wydział Kultury,,9,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-kultury/stypendium-za-osiagniecia-artystyczne-o-randze-miedzynarodowej-lub-ogolnopolskiej,9,22965,2.html"
OŚ-035,Ogólny schemat kontroli przedsiębiorców w zakresie ochrony środowiska,Wydział Ochrony Środowiska,Pozostale wos,2,1,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-ochrony-srodowiska/pozostale-wos/ogolny-schemat-kontroli-przedsiebiorcow-w-zakresie-ochrony-srodowiska,10,22973,2.html"
OŚ-020,Pozwolenia na wprowadzanie gazów lub pyłów do powietrza,Wydział Ochrony Środowiska,Ochrona powietrza,10,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-ochrony-srodowiska/ochrona-powietrza/pozwolenia-na-wprowadzanie-gazow-lub-pylow-do-powietrza,2,22971,2,3.html"
OŚ-027,Pozwolenie na wytwarzanie odpadów,Wydział Ochrony Środowiska,Odpady przemyslowe,9,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-ochrony-srodowiska/odpady-przemyslowe/pozwolenie-na-wytwarzanie-odpadow,1,22970,2,1.html"
OŚ-036,Rejestracja jachtów i innych jednostek pływających o długości do 24 m,Wydział Ochrony Środowiska,Pozostale wos,11,0,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-ochrony-srodowiska/pozostale-wos/rejestracja-jachtow-i-innych-jednostek-plywajacych-o-dlugosci-do-24-m,11,22973,2,1.html"
OŚ-025,Wpis do rejestru działalności regulowanej w zakresie odbierania odpadów komunalnych od właścicieli nieruchomości,Wydział Ochrony Środowiska,Odpady komunalne,10,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-ochrony-srodowiska/odpady-komunalne/wpis-do-rejestru-dzialalnosci-regulowanej-w-zakresie-odbierania-odpadow-komunalnych-od-wlascicieli-nieruchomosci,1,22969,2,3.html"
OŚ-008,Zezwolenie na prowadzenie działalności w zakresie opróżniania zbiorników bezodpływowych lub osadników w instalacjach przydomowych oczyszczalni ścieków i transport nieczystości ciekłych na terenie miasta Lublin,Wydział Ochrony Środowiska,Gospodarka wodna,12,8,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-ochrony-srodowiska/gospodarka-wodna/zezwolenie-na-prowadzenie-dzialalnosci-w-zakresie-oprozniania-zbiornikow-bezodplywowych-i-transport-nieczystosci-cieklych,2,22967,2,5.html"
OŚ-030,Zezwolenie na prowadzenie zbiorowego zaopatrzenia w wodę i/lub zbiorowego odprowadzania ścieków,Wydział Ochrony Środowiska,Gospodarka wodna,10,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-ochrony-srodowiska/gospodarka-wodna/zezwolenie-na-prowadzenie-zbiorowego-zaopatrzenia-w-wode-ilub-zbiorowego-odprowadzania-sciekow,4,22967,2,3.html"
OŚ-028,Zezwolenie na przetwarzanie odpadów,Wydział Ochrony Środowiska,Odpady przemyslowe,9,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-ochrony-srodowiska/odpady-przemyslowe/zezwolenie-na-przetwarzanie-odpadow,3,22970,2,1.html"
OŚ-026,Zezwolenie na zbieranie odpadów,Wydział Ochrony Środowiska,Odpady przemyslowe,9,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-ochrony-srodowiska/odpady-przemyslowe/zezwolenie-na-zbieranie-odpadow,2,22970,2,1.html"
OŚ-009,Zgłoszenie eksploatacji przydomowej oczyszczalni ścieków,Wydział Ochrony Środowiska,Gospodarka wodna,11,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-ochrony-srodowiska/gospodarka-wodna/zgloszenie-eksploatacji-przydomowej-oczyszczalni-sciekow,3,22967,2,1.html"
OŚ-019,"Zgłoszenie instalacji, z których emisja nie wymaga pozwolenia, a których eksploatacja wymaga zgłoszenia",Wydział Ochrony Środowiska,Ochrona powietrza,11,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-ochrony-srodowiska/ochrona-powietrza/zgloszenie-instalacji-z-ktorych-emisja-nie-wymaga-pozwolenia-a-ktorych-eksploatacja-wymaga-zgloszenia,1,22971,2,4.html"
